code_carte,code_enquete
GR11,EL51
GR12,EL52
GR13,EL53
GR14,EL61
GR21,EL54
GR22,EL62
GR23,EL63
GR24,EL64
GR25,EL65
GR30,EL30
GR41,EL41
GR42,EL42
GR43,EL43
ITD1,ITH1
ITD2,ITH2
ITD3,ITH3
ITD4,ITH4
ITD5,ITH5
ITE1,ITI1
ITE2,ITI2
ITE3,ITI3
ITE4,ITI4
BG31,BG01
BG32,BG02
BG33,BG03
BG34,BG06
BG41,BG04
BG42,BG05
RO21,RO01
RO22,RO02
RO31,RO03
RO41,RO04
RO42,RO05
RO11,RO06
RO12,RO07
RO32,RO08
FI13,FI1D
FI18,FI1B
FI1A,FI1C
GR,EL
GR1,EL5
GR2,EL6
GR3,EL3
GR4,EL4
ITD,ITH
ITE,ITI
BG3,BG0
BG4,BG0
RO2,RO0
RO3,RO0
RO4,RO0
RO1,RO0