"tab_Transferts";"Club.x";"Club.y";"Club.Logo1"
"FC Barcelona";"FC Barcelona";"FC Barcelona";"https://cdn.sofifa.org/teams/2/light/241.png"
"Monaco";"AS Monaco";"AS Monaco";"https://cdn.sofifa.org/teams/2/light/69.png"
"Liverpool";"Liverpool";"Liverpool";"https://cdn.sofifa.org/teams/2/light/9.png"
"Real Madrid";"Real Madrid";"Real Madrid";"https://cdn.sofifa.org/teams/2/light/243.png"
"Bor. Dortmund";"Borussia Dortmund";"Borussia Dortmund";"https://cdn.sofifa.org/teams/2/light/22.png"
"Juventus";"Juventus";"Juventus";"https://cdn.sofifa.org/teams/2/light/45.png"
"Spurs";"Tottenham Hotspur";"Tottenham Hotspur";"https://cdn.sofifa.org/teams/2/light/18.png"
"Man Utd";"Manchester United";"Manchester United";"https://cdn.sofifa.org/teams/2/light/11.png"
"SSC Napoli";"Napoli";"Napoli";"https://cdn.sofifa.org/teams/2/light/48.png"
"Santos FC";"Santos";"Santos";"https://cdn.sofifa.org/teams/2/light/1053.png"
"Everton";"Everton";"Everton";"https://cdn.sofifa.org/teams/2/light/7.png"
"Southampton";"Southampton";"Southampton";"https://cdn.sofifa.org/teams/2/light/17.png"
"VfL Wolfsburg";"VfL Wolfsburg";"VfL Wolfsburg";"https://cdn.sofifa.org/teams/2/light/175.png"
"Inter";"Inter";"Inter";"https://cdn.sofifa.org/teams/2/light/44.png"
"Leicester";"Leicester City";"Leicester City";"https://cdn.sofifa.org/teams/2/light/95.png"
"Chelsea";"Chelsea";"Chelsea";"https://cdn.sofifa.org/teams/2/light/5.png"
"AC Milan";"Milan";"Milan";"https://cdn.sofifa.org/teams/2/light/47.png"
"Athletic Bilbao";"Athletic Club de Bilbao";"Athletic Club de Bilbao";"https://cdn.sofifa.org/teams/2/light/448.png"
"AS Roma";"Roma";"Roma";"https://cdn.sofifa.org/teams/2/light/52.png"
"RB Leipzig";"RB Leipzig";"RB Leipzig";"https://cdn.sofifa.org/teams/2/light/112172.png"
"Shakhtar D.";"Shakhtar Donetsk";"Shakhtar Donetsk";"https://cdn.sofifa.org/teams/2/light/101059.png"
"Zenit S-Pb";"Zenit S-Pb";NA;NA
"Olympique Lyon";"Olympique Lyonnais";"Olympique Lyonnais";"https://cdn.sofifa.org/teams/2/light/66.png"
"FC Schalke 04";"FC Schalke 04";"FC Schalke 04";"https://cdn.sofifa.org/teams/2/light/34.png"
"Swansea";"Swansea City";"Swansea City";"https://cdn.sofifa.org/teams/2/light/1960.png"
"Aston Villa";"Aston Villa";"Aston Villa";"https://cdn.sofifa.org/teams/2/light/2.png"
"FC Porto";"FC Porto";"FC Porto";"https://cdn.sofifa.org/teams/2/light/236.png"
"Bor. M'gladbach";"Borussia Mönchengladbach";"Borussia Mönchengladbach";"https://cdn.sofifa.org/teams/2/light/23.png"
"Flamengo";"Fulham";"Fulham";"https://cdn.sofifa.org/teams/2/light/144.png"
"Valencia CF";"Valencia CF";"Valencia CF";"https://cdn.sofifa.org/teams/2/light/461.png"
"Atlético Madrid";"Atlético Madrid";"Atlético Madrid";"https://cdn.sofifa.org/teams/2/light/240.png"
"US Palermo";"Palermo";"Palermo";"https://cdn.sofifa.org/teams/2/light/1843.png"
"Newcastle";"Newcastle United";"Newcastle United";"https://cdn.sofifa.org/teams/2/light/13.png"
"TSG Hoffenheim";"TSG 1899 Hoffenheim";"TSG 1899 Hoffenheim";"https://cdn.sofifa.org/teams/2/light/10029.png"
"G. Bordeaux";"FC Girondins de Bordeaux";"FC Girondins de Bordeaux";"https://cdn.sofifa.org/teams/2/light/59.png"
"São Paulo";"São Paulo";NA;NA
"Benfica";"SL Benfica";"SL Benfica";"https://cdn.sofifa.org/teams/2/light/234.png"
"Sporting CP";"Sporting CP";"Sporting CP";"https://cdn.sofifa.org/teams/2/light/237.png"
"Fiorentina";"Fiorentina";"Fiorentina";"https://cdn.sofifa.org/teams/2/light/110374.png"
"Villarreal CF";"Villarreal CF";"Villarreal CF";"https://cdn.sofifa.org/teams/2/light/483.png"
"GZ Evergrande";"Guangzhou Evergrande Taobao FC";"Guangzhou Evergrande Taobao FC";"https://cdn.sofifa.org/teams/2/light/111839.png"
"AFC Ajax";"Ajax";"Ajax";"https://cdn.sofifa.org/teams/2/light/245.png"
"Bayern Munich";"FC Bayern München";"FC Bayern München";"https://cdn.sofifa.org/teams/2/light/21.png"
"Watford";"Watford";"Watford";"https://cdn.sofifa.org/teams/2/light/1795.png"
"Marseille";"Olympique de Marseille";"Olympique de Marseille";"https://cdn.sofifa.org/teams/2/light/219.png"
"Arsenal";"Arsenal";"Arsenal";"https://cdn.sofifa.org/teams/2/light/1.png"
"Lazio";"Lazio";"Lazio";"https://cdn.sofifa.org/teams/2/light/46.png"
"Sevilla FC";"Sevilla FC";"Sevilla FC";"https://cdn.sofifa.org/teams/2/light/481.png"
"Anzhi";"Anzhi";NA;NA
"LOSC Lille";"LOSC Lille";"LOSC Lille";"https://cdn.sofifa.org/teams/2/light/65.png"
"Paris SG";"Paris Saint-Germain";"Paris Saint-Germain";"https://cdn.sofifa.org/teams/2/light/73.png"
"PSV Eindhoven";"PSV";"PSV";"https://cdn.sofifa.org/teams/2/light/247.png"
"Internacional";"Internacional";"Internacional";"https://cdn.sofifa.org/teams/2/light/1048.png"
"Real Sociedad";"Real Sociedad";"Real Sociedad";"https://cdn.sofifa.org/teams/2/light/457.png"
"Palmeiras";"Palmeiras";NA;NA
"Man City";"Manchester City";"Manchester City";"https://cdn.sofifa.org/teams/2/light/10.png"
"Grêmio";"Grêmio";"Grêmio";"https://cdn.sofifa.org/teams/2/light/1629.png"
"Dinamo Moscow";"Dinamo Moscow";NA;NA
"VfB Stuttgart";"VfB Stuttgart";"VfB Stuttgart";"https://cdn.sofifa.org/teams/2/light/36.png"
"Málaga CF";"Málaga CF";"Málaga CF";"https://cdn.sofifa.org/teams/2/light/573.png"
"Bay. Leverkusen";"Bayer 04 Leverkusen";"Bayer 04 Leverkusen";"https://cdn.sofifa.org/teams/2/light/32.png"
"OGC Nice";"OGC Nice";"OGC Nice";"https://cdn.sofifa.org/teams/2/light/72.png"
"Sampdoria";"Sampdoria";"Sampdoria";"https://cdn.sofifa.org/teams/2/light/1837.png"
"CSKA Moscow";"PFC CSKA Moscow";"PFC CSKA Moscow";"https://cdn.sofifa.org/teams/2/light/315.png"
"Real Betis";"Real Betis";"Real Betis";"https://cdn.sofifa.org/teams/2/light/449.png"
"West Ham";"West Ham United";"West Ham United";"https://cdn.sofifa.org/teams/2/light/19.png"
"1. FC Köln";"1. FC Köln";"1. FC Köln";"https://cdn.sofifa.org/teams/2/light/31.png"
"Crystal Palace";"Crystal Palace";"Crystal Palace";"https://cdn.sofifa.org/teams/2/light/1799.png"
"Burnley";"Burnley";"Burnley";"https://cdn.sofifa.org/teams/2/light/1796.png"
"Sunderland";"Sunderland";"Sunderland";"https://cdn.sofifa.org/teams/2/light/106.png"
"1.FSV Mainz 05";"1. FSV Mainz 05";"1. FSV Mainz 05";"https://cdn.sofifa.org/teams/2/light/169.png"
"Werder Bremen";"SV Werder Bremen";"SV Werder Bremen";"https://cdn.sofifa.org/teams/2/light/38.png"
"Udinese Calcio";"Udinese";"Udinese";"https://cdn.sofifa.org/teams/2/light/55.png"
"Parma";"Parma";"Parma";"https://cdn.sofifa.org/teams/2/light/50.png"
"Genoa";"Genoa";"Genoa";"https://cdn.sofifa.org/teams/2/light/110556.png"
"Atlético-MG";"Atlético Mineiro";"Atlético Mineiro";"https://cdn.sofifa.org/teams/2/light/1035.png"
"RSC Anderlecht";"RSC Anderlecht";"RSC Anderlecht";"https://cdn.sofifa.org/teams/2/light/229.png"
"Dynamo Kyiv";"Dynamo Kyiv";"Dynamo Kyiv";"https://cdn.sofifa.org/teams/2/light/101047.png"
"Torino";"Torino";"Torino";"https://cdn.sofifa.org/teams/2/light/54.png"
"Bologna";"Bologna";"Bologna";"https://cdn.sofifa.org/teams/2/light/189.png"
"Toulouse";"Toulouse Football Club";"Toulouse Football Club";"https://cdn.sofifa.org/teams/2/light/1809.png"
"Norwich";"Norwich City";"Norwich City";"https://cdn.sofifa.org/teams/2/light/1792.png"
"Charlton";"Charlton Athletic";"Charlton Athletic";"https://cdn.sofifa.org/teams/2/light/89.png"
"Hellas Verona";"Hellas Verona";"Hellas Verona";"https://cdn.sofifa.org/teams/2/light/206.png"
"RB Salzburg";"FC Red Bull Salzburg";"FC Red Bull Salzburg";"https://cdn.sofifa.org/teams/2/light/191.png"
"River Plate";"River Plate";"River Plate";"https://cdn.sofifa.org/teams/2/light/1876.png"
"Atalanta";"Atalanta";"Atalanta";"https://cdn.sofifa.org/teams/2/light/39.png"
"Dinamo Zagreb";"Dinamo Zagreb";"Dinamo Zagreb";"https://cdn.sofifa.org/teams/2/light/211.png"
"FC Basel";"FC Basel 1893";"FC Basel 1893";"https://cdn.sofifa.org/teams/2/light/896.png"
"Besiktas";"Besiktas JK";"Beşiktaş JK";"https://cdn.sofifa.org/teams/2/light/327.png"
"Stoke City";"Stoke City";"Stoke City";"https://cdn.sofifa.org/teams/2/light/1806.png"
"AZ Alkmaar";"AZ Alkmaar";"AZ Alkmaar";"https://cdn.sofifa.org/teams/2/light/1906.png"
"Blackburn";"Blackburn Rovers";"Blackburn Rovers";"https://cdn.sofifa.org/teams/2/light/3.png"
"Standard Liège";"Standard de Liège";"Standard de Liège";"https://cdn.sofifa.org/teams/2/light/232.png"
"Independiente";"Independiente";"Independiente";"https://cdn.sofifa.org/teams/2/light/110093.png"
"Boca Juniors";"Boca Juniors";"Boca Juniors";"https://cdn.sofifa.org/teams/2/light/1877.png"
"Portsmouth";"Portsmouth";"Portsmouth";"https://cdn.sofifa.org/teams/2/light/1790.png"
"BJ Sinobo Guoan";"Beijing Sinobo Guoan FC";"Beijing Sinobo Guoan FC";"https://cdn.sofifa.org/teams/2/light/111768.png"
"Al Sadd";"Al Sadd";"Al Raed";"https://cdn.sofifa.org/teams/2/light/112392.png"
"Dep. La Coruña";"Deportivo de La Coruña";"Deportivo de La Coruña";"https://cdn.sofifa.org/teams/2/light/242.png"
"Real Zaragoza";"Real Zaragoza";"Real Zaragoza";"https://cdn.sofifa.org/teams/2/light/244.png"
"FC Augsburg";"FC Augsburg";"FC Augsburg";"https://cdn.sofifa.org/teams/2/light/100409.png"
"FC Lorient";"FC Lorient";"FC Lorient";"https://cdn.sofifa.org/teams/2/light/217.png"
"SC Freiburg";"SC Freiburg";"SC Freiburg";"https://cdn.sofifa.org/teams/2/light/25.png"
"Espanyol";"RCD Espanyol";"RCD Espanyol";"https://cdn.sofifa.org/teams/2/light/452.png"
"Corinthians";"Corinthians";NA;NA
"Lecce";"Lecce";"Lecce";"https://cdn.sofifa.org/teams/2/light/347.png"
"Fulham";"Fulham";"Fulham";"https://cdn.sofifa.org/teams/2/light/144.png"
"Wigan";"Wigan Athletic";"Wigan Athletic";"https://cdn.sofifa.org/teams/2/light/1917.png"
"Vasco da Gama";"Vasco da Gama";NA;NA
"Feyenoord";"Feyenoord";"Feyenoord";"https://cdn.sofifa.org/teams/2/light/246.png"
"Bolton";"Bolton Wanderers";"Bolton Wanderers";"https://cdn.sofifa.org/teams/2/light/4.png"
"Hamburger SV";"Hamburger SV";"Hamburger SV";"https://cdn.sofifa.org/teams/2/light/28.png"
"Kuban Krasnodar";"Kuban Krasnodar";NA;NA
"Rubin Kazan";"Rubin Kazan";NA;NA
"Sassuolo";"Sassuolo";"Sassuolo";"https://cdn.sofifa.org/teams/2/light/111974.png"
"KRC Genk";"KRC Genk";"KRC Genk";"https://cdn.sofifa.org/teams/2/light/673.png"
"Celta de Vigo";"RC Celta";"RC Celta";"https://cdn.sofifa.org/teams/2/light/450.png"
"SCO Angers";"Angers SCO";"Angers SCO";"https://cdn.sofifa.org/teams/2/light/1530.png"
"Loko Moscow";"Lokomotiv Moscow";"Lokomotiv Moscow";"https://cdn.sofifa.org/teams/2/light/100765.png"
"ZJ Greentown";"ZJ Greentown";NA;NA
"Olympiacos";"Olympiacos CFP";"Olympiacos CFP";"https://cdn.sofifa.org/teams/2/light/280.png"
"Spartak Moscow";"Spartak Moscow";"Spartak Moscow";"https://cdn.sofifa.org/teams/2/light/100767.png"
"Nottm Forest";"Nottingham Forest";"Nottingham Forest";"https://cdn.sofifa.org/teams/2/light/14.png"
"Heerenveen";"SC Heerenveen";"SC Heerenveen";"https://cdn.sofifa.org/teams/2/light/1913.png"
"Hertha BSC";"Hertha BSC";"Hertha BSC";"https://cdn.sofifa.org/teams/2/light/166.png"
"FC Metz";"FC Metz";"FC Metz";"https://cdn.sofifa.org/teams/2/light/68.png"
"Fluminense";"Fluminense";"Fluminense";"https://cdn.sofifa.org/teams/2/light/567.png"
"Middlesbrough";"Middlesbrough";"Middlesbrough";"https://cdn.sofifa.org/teams/2/light/12.png"
"Leeds";"Leeds United";"Leeds United";"https://cdn.sofifa.org/teams/2/light/8.png"
"Hull City";"Hull City";"Hull City";"https://cdn.sofifa.org/teams/2/light/1952.png"
"Stade Rennais";"Stade Rennais FC";"Stade Rennais FC";"https://cdn.sofifa.org/teams/2/light/74.png"
"Vitesse";"Vitesse";"Vitesse";"https://cdn.sofifa.org/teams/2/light/1909.png"
"Fenerbahce";"Fenerbahçe SK";"Fenerbahçe SK";"https://cdn.sofifa.org/teams/2/light/326.png"
"Braga";"SC Braga";"SC Braga";"https://cdn.sofifa.org/teams/2/light/1896.png"
"Galatasaray";"Galatasaray SK";"Galatasaray SK";"https://cdn.sofifa.org/teams/2/light/325.png"
"Racing Club";"Racing Club";"Racing Club";"https://cdn.sofifa.org/teams/2/light/101085.png"
"Montpellier";"Montpellier HSC";"Montpellier HSC";"https://cdn.sofifa.org/teams/2/light/70.png"
"Celtic";"Celtic";"Celtic";"https://cdn.sofifa.org/teams/2/light/78.png"
"Cruzeiro";"Cruzeiro";"Cruzeiro";"https://cdn.sofifa.org/teams/2/light/568.png"
"Bari";"Bari";"Bahia";"https://cdn.sofifa.org/teams/2/light/1598.png"
"Cagliari Calcio";"Cagliari";"Cagliari";"https://cdn.sofifa.org/teams/2/light/1842.png"
"Metalist";"Metalist";NA;NA
"Wolves";"Wolverhampton Wanderers";"Wolverhampton Wanderers";"https://cdn.sofifa.org/teams/2/light/110.png"
"Vélez Sarsfield";"Vélez Sarsfield";"Vélez Sarsfield";"https://cdn.sofifa.org/teams/2/light/101088.png"
"CF Pachuca";"Pachuca";"Pachuca";"https://cdn.sofifa.org/teams/2/light/110147.png"
"Granada CF";"Granada CF";"Granada CF";"https://cdn.sofifa.org/teams/2/light/110832.png"
"Club Brugge";"Club Brugge KV";"Club Brugge KV";"https://cdn.sofifa.org/teams/2/light/231.png"
"FC Sion";"FC Sion";"FC Sion";"https://cdn.sofifa.org/teams/2/light/110770.png"
"JS Suning";"Jiangsu Suning FC";"Jiangsu Suning FC";"https://cdn.sofifa.org/teams/2/light/112162.png"
"Saint-Étienne";"AS Saint-Étienne";"AS Saint-Étienne";"https://cdn.sofifa.org/teams/2/light/1819.png"
"Chivas";"Guadalajara";"Guadalajara";"https://cdn.sofifa.org/teams/2/light/1880.png"
"Racing";"Racing";"Reading";"https://cdn.sofifa.org/teams/2/light/1793.png"
"RCD Mallorca";"RCD Mallorca";"RCD Mallorca";"https://cdn.sofifa.org/teams/2/light/453.png"
"Desp. Brasil";"Desp. Brasil";NA;NA
"FC Twente";"FC Twente";NA;NA
"R. Strasbourg";"RC Strasbourg Alsace";"RC Strasbourg Alsace";"https://cdn.sofifa.org/teams/2/light/76.png"
"West Brom";"West Bromwich Albion";"West Bromwich Albion";"https://cdn.sofifa.org/teams/2/light/109.png"
"U. de Chile";"Universidad de Chile";"Universidad de Chile";"https://cdn.sofifa.org/teams/2/light/15029.png"
"Basaksehir";"Basaksehir";NA;NA
"QPR";"Queens Park Rangers";"Queens Park Rangers";"https://cdn.sofifa.org/teams/2/light/15.png"
"CA Osasuna";"CA Osasuna";"CA Osasuna";"https://cdn.sofifa.org/teams/2/light/479.png"
"Reggina";"Reggina";NA;NA
"Rangers";"Rangers FC";"Rangers FC";"https://cdn.sofifa.org/teams/2/light/86.png"
"Bristol City";"Bristol City";"Bristol City";"https://cdn.sofifa.org/teams/2/light/1919.png"
"Birmingham";"Birmingham City";"Birmingham City";"https://cdn.sofifa.org/teams/2/light/88.png"
"UD Las Palmas";"UD Las Palmas";"UD Las Palmas";"https://cdn.sofifa.org/teams/2/light/472.png"
"SD Luneng";"Shandong Luneng TaiShan FC";"Shandong Luneng TaiShan FC";"https://cdn.sofifa.org/teams/2/light/111724.png"
"Brentford";"Brentford";"Brentford";"https://cdn.sofifa.org/teams/2/light/1925.png"
"AJ Auxerre";"AJ Auxerre";"AJ Auxerre";"https://cdn.sofifa.org/teams/2/light/57.png"
"Catania";"Catania";NA;NA
"Partizan";"Partizan";NA;NA
"Pescara";"Pescara";"Pescara";"https://cdn.sofifa.org/teams/2/light/200.png"
"Al-Jazira";"Al-Jazira";NA;NA
"Bournemouth";"Bournemouth";"Bournemouth";"https://cdn.sofifa.org/teams/2/light/1943.png"
"BSC Young Boys";"BSC Young Boys";"BSC Young Boys";"https://cdn.sofifa.org/teams/2/light/900.png"
"CD Leganés";"CD Leganés";"CD Leganés";"https://cdn.sofifa.org/teams/2/light/100888.png"
"Instituto";"Instituto";NA;NA
"Derby";"Derby County";"Derby County";"https://cdn.sofifa.org/teams/2/light/91.png"
"América";"Club América";"Club América";"https://cdn.sofifa.org/teams/2/light/1879.png"
"Newell's";"Newell's Old Boys";"Newell's Old Boys";"https://cdn.sofifa.org/teams/2/light/110396.png"
"YB Funde";"YB Funde";NA;NA
"Ipswich";"Ipswich Town";"Ipswich Town";"https://cdn.sofifa.org/teams/2/light/94.png"
"Sheffield Utd.";"Sheffield United";"Sheffield United";"https://cdn.sofifa.org/teams/2/light/1794.png"
"Huddersfield";"Huddersfield Town";"Huddersfield Town";"https://cdn.sofifa.org/teams/2/light/1939.png"
"Hilal";"Al Hilal";"Al Hilal";"https://cdn.sofifa.org/teams/2/light/605.png"
"GZ R&F";"Guangzhou R&F; FC";"Guangzhou R&F; FC";"https://cdn.sofifa.org/teams/2/light/112429.png"
"Heart of Midl.";"Heart of Midlothian";"Heart of Midlothian";"https://cdn.sofifa.org/teams/2/light/80.png"
"Hajduk Split";"Hajduk Split";NA;NA
"Cardiff";"Cardiff City";"Cardiff City";"https://cdn.sofifa.org/teams/2/light/1961.png"
"Al-Ahli (UAE)";"Al Ahli";"Al Ahli";"https://cdn.sofifa.org/teams/2/light/112387.png"
"Santos Laguna";"Santos Laguna";"Santos Laguna";"https://cdn.sofifa.org/teams/2/light/110144.png"
"Preston NE";"Preston North End";"Preston North End";"https://cdn.sofifa.org/teams/2/light/1801.png"
"Brighton";"Brighton & Hove Albion";"Brighton & Hove Albion";"https://cdn.sofifa.org/teams/2/light/1808.png"
"FC Empoli";"Empoli";"Napoli";"https://cdn.sofifa.org/teams/2/light/48.png"
"Recr. Huelva";"Recr. Huelva";NA;NA
"FC Groningen";"FC Groningen";"FC Groningen";"https://cdn.sofifa.org/teams/2/light/1915.png"
"Siena";"Siena";NA;NA
"Getafe CF";"Getafe CF";"Getafe CF";"https://cdn.sofifa.org/teams/2/light/1860.png"
"Lens";"Racing Club de Lens";"Racing Club de Lens";"https://cdn.sofifa.org/teams/2/light/64.png"
"FC Sochaux";"FC Sochaux-Montbéliard";"FC Sochaux-Montbéliard";"https://cdn.sofifa.org/teams/2/light/226.png"
"Levante UD";"Levante UD";"Levante UD";"https://cdn.sofifa.org/teams/2/light/1853.png"
"FC Nantes";"FC Nantes";"FC Nantes";"https://cdn.sofifa.org/teams/2/light/71.png"
"FC Barcelona B";"FC Barcelona";"FC Barcelona";"https://cdn.sofifa.org/teams/2/light/241.png"
"Al Arabi";"Al Arabi";NA;NA
"CA Rosario";"FC Porto";"FC Porto";"https://cdn.sofifa.org/teams/2/light/236.png"
"KV Oostende";"KV Oostende";"KV Oostende";"https://cdn.sofifa.org/teams/2/light/682.png"
"SD Eibar";"SD Eibar";"SD Eibar";"https://cdn.sofifa.org/teams/2/light/467.png"
"Chievo Verona";"Chievo Verona";"Chievo Verona";"https://cdn.sofifa.org/teams/2/light/192.png"
"Dijon";"Dijon FCO";"Dijon FCO";"https://cdn.sofifa.org/teams/2/light/110569.png"
"Rio Ave FC";"Rio Ave FC";"Rio Ave FC";"https://cdn.sofifa.org/teams/2/light/744.png"
"Vancouver";"Vancouver Whitecaps FC";"Vancouver Whitecaps FC";"https://cdn.sofifa.org/teams/2/light/101112.png"
