"tab_Transferts";"Club.x";"Club.y";"Club.Logo1"
"HN Jianye";"Henan Jianye FC";"Henan Jianye FC";"https://cdn.sofifa.org/teams/2/light/111779.png"
"Atl. Nacional";"Atlético Nacional";"Atlético Nacional";"https://cdn.sofifa.org/teams/2/light/101100.png"
"Al-Ettifaq";"Ettifaq FC";"Ettifaq FC";"https://cdn.sofifa.org/teams/2/light/112096.png"
"Baniyas SC";"Baniyas SC";NA;NA
"Liaoning FC";"Liaoning FC";NA;NA
"Nordsjaelland";"FC Nordsjælland";"FC Nordsjælland";"https://cdn.sofifa.org/teams/2/light/1788.png"
"BJ Renhe";"BJ Renhe";NA;NA
"Maldonado";"Maldonado";NA;NA
"FCS Bucharest";"FCS Bucharest";NA;NA
"Botafogo";"Botafogo";"Botafogo";"https://cdn.sofifa.org/teams/2/light/517.png"
"E. Frankfurt";"Eintracht Frankfurt";"Eintracht Frankfurt";"https://cdn.sofifa.org/teams/2/light/1824.png"
"Roda JC";"Roda JC";NA;NA
"Estudiantes";"Estudiantes de La Plata";"Estudiantes de La Plata";"https://cdn.sofifa.org/teams/2/light/101083.png"
"AS Nancy";"AS Nancy Lorraine";"AS Nancy Lorraine";"https://cdn.sofifa.org/teams/2/light/1823.png"
"Portuguesa";"Portuguesa";NA;NA
"Kayserispor";"Kayserispor";"Kayserispor";"https://cdn.sofifa.org/teams/2/light/101020.png"
"Karabükspor";"Karabükspor";NA;NA
"HNK Rijeka";"HNK Rijeka";NA;NA
"Al-Ain FC";"Al-Ain FC";NA;NA
"SM Caen";"Stade Malherbe Caen";"Stade Malherbe Caen";"https://cdn.sofifa.org/teams/2/light/210.png"
"KAA Gent";"KAA Gent";"KAA Gent";"https://cdn.sofifa.org/teams/2/light/674.png"
"Reims";"Stade de Reims";"Stade de Reims";"https://cdn.sofifa.org/teams/2/light/379.png"
"Chiapas FC";"Chiapas FC";NA;NA
"Vit. Guimarães";"Vitória Guimarães";"Vitória Guimarães";"https://cdn.sofifa.org/teams/2/light/1887.png"
"Bröndby IF";"Brøndby IF";"Brøndby IF";"https://cdn.sofifa.org/teams/2/light/269.png"
"Colo Colo";"Colo-Colo";"Colo-Colo";"https://cdn.sofifa.org/teams/2/light/110980.png"
"Trabzonspor";"Trabzonspor";"Trabzonspor";"https://cdn.sofifa.org/teams/2/light/436.png"
"Lanús";"Club Atlético Lanús";"Club Atlético Lanús";"https://cdn.sofifa.org/teams/2/light/110395.png"
"FC Copenhagen";"FC København";"FC København";"https://cdn.sofifa.org/teams/2/light/819.png"
"Tigres UANL";"Tigres U.A.N.L.";"Tigres U.A.N.L.";"https://cdn.sofifa.org/teams/2/light/1970.png"
"AIK Solna";"AIK";"PAOK";"https://cdn.sofifa.org/teams/2/light/393.png"
"Le Mans";"Le Mans";NA;NA
"Brescia";"Brescia";"Brescia";"https://cdn.sofifa.org/teams/2/light/190.png"
"FC Zürich";"FC Zürich";"FC Zürich";"https://cdn.sofifa.org/teams/2/light/894.png"
"FC Utrecht";"FC Utrecht";"FC Utrecht";"https://cdn.sofifa.org/teams/2/light/1903.png"
"Sparta Praha";"Sparta Praha";"Sparta Praha";"https://cdn.sofifa.org/teams/2/light/267.png"
"Argentinos";"Argentinos Juniors";"Argentinos Juniors";"https://cdn.sofifa.org/teams/2/light/111019.png"
"Zorya Lugansk";"Zorya Lugansk";NA;NA
"Blackpool";"Blackpool";"Blackpool";"https://cdn.sofifa.org/teams/2/light/1926.png"
"KV Mechelen";"KV Mechelen";NA;NA
"UD Almería";"UD Almería";"UD Almería";"https://cdn.sofifa.org/teams/2/light/1861.png"
"Gaziantepspor";"Gaziantepspor";NA;NA
"Stade Brest 29";"Stade Brestois 29";"Stade Brestois 29";"https://cdn.sofifa.org/teams/2/light/378.png"
"Nacional";"CD Nacional";"CD Nacional";"https://cdn.sofifa.org/teams/2/light/1891.png"
"Al Rayyan";"Al Rayyan";NA;NA
"Monterrey";"Monterrey";"Monterrey";"https://cdn.sofifa.org/teams/2/light/1032.png"
"AS Livorno";"Livorno";"Livorno";"https://cdn.sofifa.org/teams/2/light/1844.png"
"Hannover 96";"Hannover 96";"Hannover 96";"https://cdn.sofifa.org/teams/2/light/485.png"
"Atlético-PR";"Atlético Paranaense";"Atlético Paranaense";"https://cdn.sofifa.org/teams/2/light/1039.png"
"Zulte Waregem";"SV Zulte-Waregem";"SV Zulte-Waregem";"https://cdn.sofifa.org/teams/2/light/15005.png"
"KAS Eupen";"KAS Eupen";"KAS Eupen";"https://cdn.sofifa.org/teams/2/light/2013.png"
"Rostov";"Rostov";NA;NA
"AC Le Havre";"Le Havre AC";"Le Havre AC";"https://cdn.sofifa.org/teams/2/light/1738.png"
"SC Amiens";"Amiens SC";"Amiens SC";"https://cdn.sofifa.org/teams/2/light/1816.png"
"Huracán";"Club Atlético Huracán";"Club Atlético Huracán";"https://cdn.sofifa.org/teams/2/light/111711.png"
"Rayo Vallecano";"Rayo Vallecano";"Rayo Vallecano";"https://cdn.sofifa.org/teams/2/light/480.png"
"FC Midtjylland";"FC Midtjylland";"FC Midtjylland";"https://cdn.sofifa.org/teams/2/light/1516.png"
"Reading";"Reading";"Reading";"https://cdn.sofifa.org/teams/2/light/1793.png"
"Club Tijuana";"Club Tijuana";"Club Tijuana";"https://cdn.sofifa.org/teams/2/light/111678.png"
"Juventude";"Juventude";"Juventus";"https://cdn.sofifa.org/teams/2/light/45.png"
"Gamba Osaka";"Gamba Osaka";"Gamba Osaka";"https://cdn.sofifa.org/teams/2/light/112093.png"
"FC São Paulo B";"FC São Paulo B";NA;NA
"Krasnodar";"Krasnodar";NA;NA
"Crewe Alexandra";"Crewe Alexandra";"Crewe Alexandra";"https://cdn.sofifa.org/teams/2/light/121.png"
"Guingamp";"En Avant de Guingamp";"En Avant de Guingamp";"https://cdn.sofifa.org/teams/2/light/62.png"
"San Lorenzo";"San Lorenzo de Almagro";"San Lorenzo de Almagro";"https://cdn.sofifa.org/teams/2/light/1013.png"
"Bursaspor";"Bursaspor";"Bursaspor";"https://cdn.sofifa.org/teams/2/light/742.png"
"Rapid Vienna";"SK Rapid Wien";"SK Rapid Wien";"https://cdn.sofifa.org/teams/2/light/254.png"
"Ludogorets";"Ludogorets";NA;NA
"Osmanlispor";"Osmanlispor";NA;NA
"Ascoli";"Ascoli";"Ascoli";"https://cdn.sofifa.org/teams/2/light/1847.png"
"CA Banfield";"Club Atlético Banfield";"Club Atlético Banfield";"https://cdn.sofifa.org/teams/2/light/110404.png"
"León";"Club León";"Club León";"https://cdn.sofifa.org/teams/2/light/110781.png"
"RC Cesena";"RC Cesena";NA;NA
"Eskisehirspor";"Eskisehirspor";NA;NA
"Ahly";"Ahly";NA;NA
"M. Tel Aviv";"M. Tel Aviv";NA;NA
"Elche CF";"Elche CF";"Elche CF";"https://cdn.sofifa.org/teams/2/light/468.png"
"Paços Ferreira";"Paços Ferreira";NA;NA
"Feirense";"CD Feirense";"CD Feirense";"https://cdn.sofifa.org/teams/2/light/10019.png"
"Atlas";"Club Atlas";"Club Atlas";"https://cdn.sofifa.org/teams/2/light/101114.png"
"1.FC Nuremberg";"1. FC Nürnberg";"1. FC Nürnberg";"https://cdn.sofifa.org/teams/2/light/171.png"
"Austria Vienna";"FK Austria Wien";"FK Austria Wien";"https://cdn.sofifa.org/teams/2/light/256.png"
"Red Star";"Red Star FC";"Red Star FC";"https://cdn.sofifa.org/teams/2/light/111273.png"
"UNAM Pumas";"U.N.A.M";"U.N.A.M.";"https://cdn.sofifa.org/teams/2/light/1881.png"
"Deportivo Cali";"Deportivo Cali";"Deportivo Cali";"https://cdn.sofifa.org/teams/2/light/101102.png"
"Sporting Gijón";"Sporting CP";"Sporting CP";"https://cdn.sofifa.org/teams/2/light/237.png"
"FC Ingolstadt";"FC Ingolstadt 04";"FC Ingolstadt 04";"https://cdn.sofifa.org/teams/2/light/111239.png"
"Peterborough";"Peterborough United";"Peterborough United";"https://cdn.sofifa.org/teams/2/light/1938.png"
"Shabab";"Al Shabab";"Al Shabab";"https://cdn.sofifa.org/teams/2/light/111674.png"
"SH Shenxin";"SH Shenxin";NA;NA
"UC AlbinoLeffe";"UC AlbinoLeffe";NA;NA
"MK Dons";"MK Dons";NA;NA
"Hibernian FC";"Hibernian";"Hibernian";"https://cdn.sofifa.org/teams/2/light/81.png"
"NY Red Bulls";"New York Red Bulls";"New York Red Bulls";"https://cdn.sofifa.org/teams/2/light/689.png"
"CFR Cluj";"CFR Cluj";NA;NA
"Inter U19";"Inter";"Inter";"https://cdn.sofifa.org/teams/2/light/44.png"
"Morelia";"Monarcas Morelia";"Monarcas Morelia";"https://cdn.sofifa.org/teams/2/light/1028.png"
"CD Cruz Azul";"Cruz Azul";"Cruz Azul";"https://cdn.sofifa.org/teams/2/light/1878.png"
"Ternana";"Ternana";NA;NA
"Iraty SC";"Iraty SC";NA;NA
"Arezzo";"Arezzo";NA;NA
"Coventry City";"Coventry City";"Coventry City";"https://cdn.sofifa.org/teams/2/light/1800.png"
"VVV-Venlo";"VVV-Venlo";"VVV-Venlo";"https://cdn.sofifa.org/teams/2/light/100651.png"
"Tombense";"Tombense";NA;NA
"Dnipro";"Dnipro";NA;NA
"RS Berkane";"RS Berkane";NA;NA
"Metalurh D.";"Metalurh D.";NA;NA
"Panathinaikos";"Panathinaikos FC";"Panathinaikos FC";"https://cdn.sofifa.org/teams/2/light/1884.png"
"Nagoya Grampus";"Nagoya Grampus";"Nagoya Grampus";"https://cdn.sofifa.org/teams/2/light/112092.png"
"Real Valladolid";"Real Valladolid CF";"Real Valladolid CF";"https://cdn.sofifa.org/teams/2/light/462.png"
"Arsenal FC";"Arsenal";"Arsenal";"https://cdn.sofifa.org/teams/2/light/1.png"
"Akhisarspor";"Akhisar Belediyespor";"Akhisar Belediyespor";"https://cdn.sofifa.org/teams/2/light/111340.png"
"Toluca";"Deportivo Toluca";"Deportivo Toluca";"https://cdn.sofifa.org/teams/2/light/1882.png"
"DL Yifang";"Dalian YiFang FC";"Dalian YiFang FC";"https://cdn.sofifa.org/teams/2/light/112378.png"
"Coimbra-MG";"Coimbra-MG";NA;NA
"Malmö FF";"Malmö FF";"Malmö FF";"https://cdn.sofifa.org/teams/2/light/320.png"
"Pol. Warsaw";"Pol. Warsaw";NA;NA
"Al Gharafa";"Al Gharafa";NA;NA
"Goiás EC";"Goiás EC";NA;NA
"Hamilton Acad.";"Hamilton Academical FC";"Hamilton Academical FC";"https://cdn.sofifa.org/teams/2/light/184.png"
"Grosseto";"Grosseto";NA;NA
"Junior FC";"Junior FC";"Junior FC";"https://cdn.sofifa.org/teams/2/light/101101.png"
"Coritiba FC";"Coritiba FC";NA;NA
"Treviso";"Treviso";NA;NA
"Tom Tomsk";"Tom Tomsk";NA;NA
"Willem II";"Willem II";"Willem II";"https://cdn.sofifa.org/teams/2/light/1907.png"
"Manisaspor";"Manisaspor";NA;NA
"Troyes";"Tromsø IL";"Tromsø IL";"https://cdn.sofifa.org/teams/2/light/418.png"
"Kalmar FF";"Kalmar FF";"Kalmar FF";"https://cdn.sofifa.org/teams/2/light/1439.png"
"FK Lyn";"FK Lyn";NA;NA
"Valenciennes FC";"Valenciennes FC";"Valenciennes FC";"https://cdn.sofifa.org/teams/2/light/110456.png"
"Rapid Bucharest";"Rapid Bucharest";NA;NA
"Aalesund";"Aalesund";NA;NA
"Novara";"Novara";NA;NA
"Dinamo Bukarest";"Dinamo Bukarest";NA;NA
"Pohang Steelers";"Pohang Steelers";"Pohang Steelers";"https://cdn.sofifa.org/teams/2/light/1474.png"
"Portimonense";"Portimonense SC";"Portimonense SC";"https://cdn.sofifa.org/teams/2/light/10031.png"
"Cittadella";"Cittadella";"Cittadella";"https://cdn.sofifa.org/teams/2/light/111993.png"
"Perugia";"Perugia";"Perugia";"https://cdn.sofifa.org/teams/2/light/199.png"
"Barcelona SC";"Barcelona SC";NA;NA
"Necaxa";"Club Necaxa";"Club Necaxa";"https://cdn.sofifa.org/teams/2/light/101121.png"
"KSC Lokeren";"Sporting Lokeren";"Sporting Lokeren";"https://cdn.sofifa.org/teams/2/light/2007.png"
"Helsingborg";"Helsingborg";NA;NA
"Ferencváros";"Ferencváros";NA;NA
"Lech Poznan";"Lech Poznan";"Lech Poznań";"https://cdn.sofifa.org/teams/2/light/873.png"
"EC Bahia";"Bahia";"Bahia";"https://cdn.sofifa.org/teams/2/light/1598.png"
"VfL Bochum";"VfL Bochum 1848";"VfL Bochum 1848";"https://cdn.sofifa.org/teams/2/light/160.png"
"Piacenza";"Piacenza";NA;NA
"Odense BK";"Odds BK";"Odds BK";"https://cdn.sofifa.org/teams/2/light/1456.png"
"Paraná";"Paraná";"Paraná";"https://cdn.sofifa.org/teams/2/light/111048.png"
"Torpedo Moscow";"Torpedo Moscow";NA;NA
"Colchester Utd.";"Colchester United";"Colchester United";"https://cdn.sofifa.org/teams/2/light/1935.png"
"Slavia Prag";"SK Slavia Praha";"SK Slavia Praha";"https://cdn.sofifa.org/teams/2/light/266.png"
"FK Moskau";"FK Moskau";NA;NA
"Molde FK";"Molde FK";"Molde FK";"https://cdn.sofifa.org/teams/2/light/417.png"
"Belgrano";"Belgrano de Córdoba";"Belgrano de Córdoba";"https://cdn.sofifa.org/teams/2/light/111022.png"
"RNK Split";"RNK Split";NA;NA
"QD Jonoon";"QD Jonoon";NA;NA
"Legia Warszawa";"Legia Warszawa";"Legia Warszawa";"https://cdn.sofifa.org/teams/2/light/1871.png"
"Quilmes";"Quilmes";NA;NA
"Esperance";"Esperance";NA;NA
"Grasshoppers";"Grasshopper Club Zürich";"Grasshopper Club Zürich";"https://cdn.sofifa.org/teams/2/light/322.png"
"Peñarol";"Peñarol";NA;NA
"SC Bastia";"SC Bastia";NA;NA
"Alavés";"Deportivo Alavés";"Deportivo Alavés";"https://cdn.sofifa.org/teams/2/light/463.png"
"IFK Göteborg";"IFK Göteborg";"IFK Göteborg";"https://cdn.sofifa.org/teams/2/light/319.png"
"FK Teplice";"FK Teplice";NA;NA
"Stabaek IF";"Stabæk Fotball";"Stabæk Fotball";"https://cdn.sofifa.org/teams/2/light/917.png"
"Toronto FC";"Toronto FC";"Toronto FC";"https://cdn.sofifa.org/teams/2/light/111651.png"
"Sparta R.";"Sparta R.";NA;NA
"Neuchâtel Xamax";"Neuchâtel Xamax";"Neuchâtel Xamax";"https://cdn.sofifa.org/teams/2/light/435.png"
"CD Godoy Cruz";"Godoy Cruz";"Godoy Cruz";"https://cdn.sofifa.org/teams/2/light/111706.png"
"EC Vitória";"Vitória";"Vitória";"https://cdn.sofifa.org/teams/2/light/1719.png"
"Tigre";"Tigres U.A.N.L.";"Tigres U.A.N.L.";"https://cdn.sofifa.org/teams/2/light/1970.png"
"PAOK Saloniki";"PAOK";"PAOK";"https://cdn.sofifa.org/teams/2/light/393.png"
"Hércules CF";"Elche CF";"Elche CF";"https://cdn.sofifa.org/teams/2/light/468.png"
"1.FC K'lautern";"FC Luzern";"FC Luzern";"https://cdn.sofifa.org/teams/2/light/897.png"
"Genclerbirligi";"Genclerbirligi";NA;NA
"Rentistas";"Rentistas";NA;NA
"Viktoria Plzen";"Viktoria Plzen";"Viktoria Plzeň";"https://cdn.sofifa.org/teams/2/light/110468.png"
"KS Samara";"KS Samara";NA;NA
"Rimini";"Rimini";NA;NA
"AEK Athens";"AEK Athens";"AEK Athens";"https://cdn.sofifa.org/teams/2/light/278.png"
"Vasco U17";"Vasco U17";NA;NA
"Wisla Kraków";"Wisla Kraków";"Wisła Kraków";"https://cdn.sofifa.org/teams/2/light/1873.png"
"Sheff Wed";"Sheffield Wednesday";"Sheffield Wednesday";"https://cdn.sofifa.org/teams/2/light/1807.png"
"Kasimpasa";"Kasimpasa SK";"Kasimpaşa SK";"https://cdn.sofifa.org/teams/2/light/111339.png"
"SK Brann";"SK Brann";"SK Brann";"https://cdn.sofifa.org/teams/2/light/919.png"
"Audax Italiano";"Audax Italiano";"Audax Italiano";"https://cdn.sofifa.org/teams/2/light/101097.png"
"Colón";"Club Atlético Colón";"Club Atlético Colón";"https://cdn.sofifa.org/teams/2/light/110406.png"
"Kashiwa Reysol";"Kashiwa Reysol";"Kashiwa Reysol";"https://cdn.sofifa.org/teams/2/light/101145.png"
"Rosenborg BK";"Rosenborg BK";"Rosenborg BK";"https://cdn.sofifa.org/teams/2/light/298.png"
"Elfsborg";"IF Elfsborg";"IF Elfsborg";"https://cdn.sofifa.org/teams/2/light/700.png"
"FC Bayern II";"FC Bayern München";"FC Bayern München";"https://cdn.sofifa.org/teams/2/light/21.png"
"Metalurh Z.";"Metalurh Z.";NA;NA
"Revolution";"Revolution";NA;NA
"Örgryte";"Örgryte";NA;NA
"Gimnasia";"Gimnasia y Esgrima La Plata";"Gimnasia y Esgrima La Plata";"https://cdn.sofifa.org/teams/2/light/101084.png"
"Arsenal U23";"Arsenal";"Arsenal";"https://cdn.sofifa.org/teams/2/light/1.png"
"Cobreloa";"Cobreloa";NA;NA
"Cerro Porteño";"Cerro Porteño";NA;NA
"JEF Utd. Chiba";"JEF Utd. Chiba";NA;NA
"Sheriff";"Sheriff";NA;NA
"Kashima Antlers";"Kashima Antlers";"Kashima Antlers";"https://cdn.sofifa.org/teams/2/light/101147.png"
"Albacete";"Albacete BP";"Albacete BP";"https://cdn.sofifa.org/teams/2/light/1854.png"
"Valerenga";"Vålerenga Fotball";"Vålerenga Fotball";"https://cdn.sofifa.org/teams/2/light/920.png"
"Modena";"Modena";NA;NA
"KSK Beveren";"Waasland-Beveren";"Waasland-Beveren";"https://cdn.sofifa.org/teams/2/light/110913.png"
"Grodzisk";"Grodzisk";NA;NA
"Marítimo";"Clube Sport Marítimo";"Clube Sport Marítimo";"https://cdn.sofifa.org/teams/2/light/1893.png"
"Arm. Bielefeld";"DSC Arminia Bielefeld";"DSC Arminia Bielefeld";"https://cdn.sofifa.org/teams/2/light/159.png"
"Lok. Plovdiv";"Lok. Plovdiv";NA;NA
"Zbrojovka Brno";"Zbrojovka Brno";NA;NA
"Chicago Fire";"Chicago Fire";"Chicago Fire";"https://cdn.sofifa.org/teams/2/light/693.png"
"Egaleo AO";"Egaleo AO";NA;NA
"Östers IF";"Östersunds FK";"Östersunds FK";"https://cdn.sofifa.org/teams/2/light/113173.png"
"SIPG";"Shanghai SIPG FC";"Shanghai SIPG FC";"https://cdn.sofifa.org/teams/2/light/112540.png"
"TJ Quanjian";"Tianjin Quanjian FC";"Tianjin Quanjian FC";"https://cdn.sofifa.org/teams/2/light/112983.png"
"CC Yatai";"CC Yatai";NA;NA
"HB CFFC";"Hebei China Fortune FC";"Hebei China Fortune FC";"https://cdn.sofifa.org/teams/2/light/112978.png"
"SH Shenhua";"Shanghai Greenland Shenhua FC";"Shanghai Greenland Shenhua FC";"https://cdn.sofifa.org/teams/2/light/110955.png"
"Atlanta United";"Atlanta United";"Atlanta United";"https://cdn.sofifa.org/teams/2/light/112885.png"
"TJ Teda";"Tianjin TEDA FC";"Tianjin TEDA FC";"https://cdn.sofifa.org/teams/2/light/111774.png"
"CQ Dangdai Lif.";"Chongqing Dangdai Lifan FC SWM Team";"Chongqing Dangdai Lifan FC SWM Team";"https://cdn.sofifa.org/teams/2/light/112165.png"
"El-Jaish";"El-Jaish";NA;NA
"SZ FC";"SZ FC";NA;NA
"Ahli";"Al Ahli";"Al Ahli";"https://cdn.sofifa.org/teams/2/light/112387.png"
"Nasr";"Al Nassr";"Al Nassr";"https://cdn.sofifa.org/teams/2/light/112139.png"
"Pyramids FC";"Pyramids FC";NA;NA
"Ittihad";"Al Ittihad";"Al Ittihad";"https://cdn.sofifa.org/teams/2/light/607.png"
"Al-Nasr";"Al Nassr";"Al Nassr";"https://cdn.sofifa.org/teams/2/light/112139.png"
"Sounders FC";"Seattle Sounders FC";"Seattle Sounders FC";"https://cdn.sofifa.org/teams/2/light/111144.png"
"Benfica B";"SL Benfica";"SL Benfica";"https://cdn.sofifa.org/teams/2/light/234.png"
"Los Angeles";"Los Angeles FC";"Los Angeles FC";"https://cdn.sofifa.org/teams/2/light/112996.png"
"Sharjah FC";"Sharjah FC";NA;NA
"Umm Salal";"Umm Salal";NA;NA
"Los Angeles FC";"Los Angeles FC";"Los Angeles FC";"https://cdn.sofifa.org/teams/2/light/112996.png"
"Al Duhail";"Al Duhail";NA;NA
"Real Murcia";"Real Murcia";NA;NA
"Al-Wahda FC";"Al-Wahda FC";NA;NA
"Padova";"Padova";"Padova";"https://cdn.sofifa.org/teams/2/light/110912.png"
"Urawa Reds";"Urawa Red Diamonds";"Urawa Red Diamonds";"https://cdn.sofifa.org/teams/2/light/111575.png"
"Girona FC";"Girona FC";"Girona FC";"https://cdn.sofifa.org/teams/2/light/110062.png"
"Benevento";"Benevento";"Benevento";"https://cdn.sofifa.org/teams/2/light/112026.png"
"SPAL";"SPAL";"SPAL";"https://cdn.sofifa.org/teams/2/light/112791.png"
"Akhmat Grozny";"Akhmat Grozny";NA;NA
"Al-Wasl";"Al-Wasl";NA;NA
"Saturn";"Saturn";NA;NA
"Milan U19";"Milan";"Milan";"https://cdn.sofifa.org/teams/2/light/47.png"
"Al-Shabab";"Al Shabab";"Al Shabab";"https://cdn.sofifa.org/teams/2/light/111674.png"
"Tiburones Rojos";"Tiburones Rojos de Veracruz";"Tiburones Rojos de Veracruz";"https://cdn.sofifa.org/teams/2/light/110145.png"
"Suwon Bluewings";"Suwon Samsung Bluewings";"Suwon Samsung Bluewings";"https://cdn.sofifa.org/teams/2/light/983.png"
"Ulsan";"Ulsan Hyundai FC";"Ulsan Hyundai FC";"https://cdn.sofifa.org/teams/2/light/1473.png"
"Al Ahli";"Al Ahli";"Al Ahli";"https://cdn.sofifa.org/teams/2/light/112387.png"
